permanencia;edad;direccion;ingresos;educacion;empleo;equipo;internacional;otro_servicio;internet;churn
11;33;7;136;5;5;No;Si;Si;No;Si
33;33;12;33;2;0;No;No;No;No;Si
23;30;9;30;1;2;No;No;No;No;No
38;35;5;76;2;10;Si;Si;Si;Si;No
7;35;14;80;2;15;No;Si;No;No;No
68;52;17;120;1;24;No;Si;No;No;No
42;40;7;37;2;8;Si;Si;Si;Si;No
9;21;1;17;2;2;No;No;No;No;No
35;50;26;140;2;21;No;Si;No;No;No
49;51;27;63;4;19;No;Si;No;Si;No
56;52;28;49;2;12;No;Si;No;No;No
47;40;16;127;4;12;Si;Si;No;Si;No
56;50;1;80;2;24;No;Si;Si;No;No
69;51;11;438;4;23;Si;Si;No;Si;No
16;27;5;37;3;5;No;No;No;No;No
4;35;16;161;5;6;Si;No;Si;Si;Si
27;51;3;80;5;11;Si;No;No;Si;No
52;61;3;53;5;1;Si;Si;Si;Si;No
64;25;4;76;3;2;Si;Si;No;No;No
12;24;2;19;1;0;No;Si;No;No;Si
35;61;23;41;2;11;No;Si;No;No;No
13;54;2;31;4;2;No;No;No;Si;No
45;22;2;36;4;0;Si;No;No;No;Si
3;37;13;24;1;3;No;No;No;No;No
53;22;1;25;4;0;Si;Si;No;Si;No
17;42;6;131;5;6;Si;No;Si;Si;Si
59;43;4;101;2;22;No;Si;No;No;No
57;37;11;108;4;9;Si;Si;No;Si;No
3;24;2;20;2;3;No;Si;No;Si;No
4;47;5;123;4;11;Si;Si;No;Si;No
29;26;7;34;1;7;No;Si;No;No;No
64;55;28;104;1;26;No;Si;No;No;No
22;34;1;46;3;1;Si;No;No;Si;No
33;54;18;57;4;4;Si;No;No;Si;Si
18;69;11;58;3;8;Si;Si;Si;Si;No
65;65;27;128;3;24;No;Si;No;No;No
39;24;2;26;2;4;No;Si;No;No;Si
28;29;4;23;3;5;No;No;No;Si;No
46;42;9;52;4;7;No;Si;No;No;No
43;43;3;55;4;18;Si;Si;Si;Si;No
21;29;7;40;4;2;Si;Si;Si;Si;No
53;57;25;37;1;7;No;Si;No;No;No
50;52;17;36;4;16;No;Si;Si;No;No
43;21;1;25;1;4;No;No;No;Si;Si
33;33;12;42;4;7;Si;Si;Si;No;No
45;66;43;144;2;13;No;Si;No;Si;No
28;57;33;82;4;22;Si;No;No;Si;Si
37;33;1;102;2;12;Si;Si;Si;Si;No
71;56;23;170;1;30;No;Si;No;No;No
58;58;10;96;2;17;No;No;No;No;No
36;58;34;80;1;21;No;Si;No;No;No
26;39;15;58;4;9;No;Si;Si;Si;No
13;43;1;123;3;21;Si;Si;No;Si;No
28;40;7;64;1;19;No;No;No;No;No
1;21;1;18;3;0;Si;No;No;Si;Si
15;35;5;34;3;8;Si;No;No;Si;Si
12;64;13;9;2;6;Si;Si;No;Si;No
5;30;3;46;4;7;Si;No;No;Si;Si
32;27;3;91;4;1;Si;Si;Si;Si;Si
14;36;13;67;5;4;Si;No;No;Si;No
67;60;32;93;1;21;Si;Si;No;No;No
60;45;23;117;4;11;Si;Si;Si;Si;No
70;55;12;65;3;24;No;Si;No;No;No
6;24;2;28;1;5;No;Si;No;No;Si
38;33;3;38;4;0;Si;Si;No;Si;No
53;35;15;59;3;5;No;Si;No;No;No
37;76;38;117;4;21;No;Si;No;No;No
61;45;21;80;2;13;No;Si;No;No;No
20;31;10;39;2;3;No;No;No;No;No
72;60;33;12;1;20;No;Si;Si;No;No
61;43;6;34;5;6;Si;Si;Si;Si;Si
54;27;3;27;2;6;Si;Si;Si;Si;No
28;36;3;42;3;7;No;Si;No;Si;No
52;42;17;27;3;8;No;Si;No;Si;No
43;27;3;21;2;1;No;Si;No;No;No
46;45;12;96;3;17;Si;Si;No;Si;No
39;59;20;1668;4;27;No;No;No;Si;No
10;34;1;52;5;3;Si;No;Si;Si;Si
69;46;18;66;2;19;No;Si;No;No;No
45;30;0;63;5;4;Si;Si;Si;Si;Si
52;62;23;36;4;17;No;Si;No;No;No
42;36;14;44;2;11;No;No;Si;No;No
5;44;5;83;1;16;Si;No;No;No;Si
10;33;2;66;3;9;No;Si;No;Si;Si
26;30;9;18;4;1;No;Si;No;No;Si
25;30;0;20;1;4;No;Si;No;No;No
30;23;4;19;3;1;Si;Si;No;Si;No
65;59;27;197;4;26;Si;Si;No;No;No
5;32;6;33;4;3;Si;No;No;Si;Si
7;23;3;27;2;1;No;Si;No;No;No
25;29;9;55;4;1;No;No;No;No;Si
8;22;3;25;4;0;No;Si;Si;No;No
39;47;1;68;4;10;No;No;No;Si;Si
28;36;3;69;3;2;Si;Si;Si;No;No
55;52;22;127;1;28;No;Si;No;No;No
11;63;9;41;3;3;Si;No;No;Si;Si
51;48;27;58;1;18;No;Si;No;No;Si
25;62;27;28;4;33;Si;Si;Si;No;Si
62;76;20;35;3;18;No;Si;No;No;No
53;33;1;60;1;6;No;Si;Si;No;No
1;30;3;135;4;3;Si;Si;No;Si;Si
20;32;10;19;3;5;Si;No;No;Si;No
34;63;10;23;2;0;Si;Si;Si;Si;No
44;45;19;88;1;21;No;Si;No;No;No
12;23;2;24;4;0;No;Si;Si;Si;No
39;34;4;20;5;3;Si;Si;Si;Si;No
19;26;2;48;3;0;No;Si;No;No;No
7;27;3;39;3;2;No;No;No;No;Si
32;34;0;38;1;10;No;Si;No;No;No
35;34;7;78;4;10;No;Si;No;No;No
56;42;10;24;2;5;No;No;No;No;No
5;47;7;46;1;6;No;Si;No;No;Si
16;50;5;263;2;29;Si;No;Si;No;No
17;42;6;31;2;2;No;No;Si;No;Si
9;24;3;26;4;1;Si;No;No;No;No
9;41;12;39;4;3;Si;No;Si;Si;Si
71;41;10;73;2;23;No;Si;No;No;No
11;26;2;53;3;3;Si;Si;Si;Si;Si
